TABLE_NAME,TABLE_TYPE,REMARKS
Inventory_Flow_Report_Inv_Flow_Export_w_26_wks_Container_Template,VIEW,
Inventory_Flow_Report_Inv_Flow_Export_w_26_wks_PBI_Overstock_Rpt,VIEW,
Inventory_Flow_Report_Inv_Flow_Fill_Rate_Investigaion,VIEW,
Inventory_Flow_Report_Inv_Flow_Item_Status_Conflicts,VIEW,
Inventory_Flow_Report_Inv_Flow_Jackie_Only,VIEW,
Inventory_Flow_Report_Inv_Flow_JG,VIEW,
Inventory_Flow_Report_Inv_Flow_Lookup_ER,VIEW,
Inventory_Flow_Report_Inv_Flow_Notes,VIEW,
Inventory_Flow_Report_Inv_Flow_Open_Orders_by_Week,VIEW,
Inventory_Flow_Report_Inv_Flow_Paper_Plates_Active_Replen_Only,VIEW,
Inventory_Flow_Report_Inv_Flow_PSM_PL,VIEW,
Inventory_Flow_Report_Inv_Flow_Records_Added_TODAY,VIEW,
Inventory_Flow_Report_Inv_Flow_vs_PT_Item_Status,VIEW,
Inventory_Flow_Report_Inv_Flow_Whse_Planning_all,VIEW,
Inventory_Flow_Report_Inv_Flow_Whse_Planning_Shina,VIEW,
Inventory_Flow_Report_Inv_Flow_Whse_Planning_Upcoming_Check,VIEW,
Inventory_Flow_Report_Inventory_ATS_26_Weeks_,VIEW,
Inventory_Flow_Report_Inventory_Days_by_Brand,VIEW,
Inventory_Flow_Report_Inventory_Export_with_Inventory_Manager,VIEW,
Inventory_Flow_Report_Inventory_Flow_AMY,VIEW,
Inventory_Flow_Report_Inventory_Flow_Booking_needed,VIEW,
Inventory_Flow_Report_Inventory_Flow_by_FOB_Point,VIEW,
Inventory_Flow_Report_Inventory_Flow_Cleanze,VIEW,
Inventory_Flow_Report_Inventory_Flow_Clorox_Health,VIEW,
Inventory_Flow_Report_Inventory_Flow_Entertainment,VIEW,
Inventory_Flow_Report_Inventory_Flow_Export_for_Planner_TBs,VIEW,
Inventory_Flow_Report_Inventory_Flow_Export_for_Planner_TBs_AMY,VIEW,
Inventory_Flow_Report_Inventory_Flow_Export_Format,VIEW,
Inventory_Flow_Report_Inventory_Flow_Export_Shina,VIEW,
Inventory_Flow_Report_Inventory_Flow_for_ALL_OH_OO_Items,VIEW,
Inventory_Flow_Report_Inventory_Flow_for_Fetch_Top_OOS_Items,VIEW,
Inventory_Flow_Report_Inventory_Flow_For_GE_Amazon_Cuts,VIEW,
Inventory_Flow_Report_Inventory_Flow_for_items_in_work,VIEW,
Inventory_Flow_Report_Inventory_Flow_for_Overstock_Summary,VIEW,
Inventory_Flow_Report_Inventory_Flow_GE_Export,VIEW,
Inventory_Flow_Report_Inventory_Flow_GE_Export_PetSmart_Cuts,VIEW,
Inventory_Flow_Report_Inventory_Flow_GE_New_Export,VIEW,
Inventory_Flow_Report_Inventory_Flow_In_Prod_Entertainment_Export,VIEW,
Inventory_Flow_Report_Inventory_Flow_Main,VIEW,"This Report Does NOT show Components , DS, WFS UK or AU"
Inventory_Flow_Report_Inventory_Flow_Main_w_Confirmed_Receipts_Only_CRO_,VIEW,"This Report Does Not show Multi-Pks or Components or UK.
This Report Does Not show receipts that are unconfirmed. "
Inventory_Flow_Report_Inventory_Flow_Main_w_Confirmed_Receipts_Only_CRO_Export,VIEW,"This Report Does Not show Multi-Pks or Components or UK.
This Report Does Not show receipts that are unconfirmed.  "
Inventory_Flow_Report_Inventory_Flow_Meijer,VIEW,
Inventory_Flow_Report_Inventory_Flow_Ningbo,VIEW,
Inventory_Flow_Report_Inventory_Flow_not_including_I_W_DO_NOT_USE,VIEW,
Inventory_Flow_Report_Inventory_Flow_Petco,VIEW,
Inventory_Flow_Report_Inventory_Flow_PSP,VIEW,
Inventory_Flow_Report_Inventory_Flow_Records_with_No_Projections,VIEW,These Inventory Flows have No Attached Projections
Inventory_Flow_Report_Inventory_Flow_Review_Shipments_,VIEW,
Inventory_Flow_Report_Inventory_Flow_Shina,VIEW,
Inventory_Flow_Report_Inventory_Flow_Shina_NVO,VIEW,
Inventory_Flow_Report_Inventory_Flow_Test_w_confirmed_receipts_only_,VIEW,
Inventory_Flow_Report_Inventory_Flow_w_o_Amazon,VIEW,
Inventory_Flow_Report_Inventory_Flow_Walmart,VIEW,
Inventory_Flow_Report_Inventory_Flow_Wet_Ones,VIEW,
Inventory_Flow_Report_Inventory_Health_all_status,VIEW,
Inventory_Flow_Report_Inventory_Health_Brand,VIEW,
Inventory_Flow_Report_Inventory_Health_Brand_Level,VIEW,
Inventory_Flow_Report_InventoryTrack_BB_Overstock_Export_Inventory_Flow_Main_w_Confirmed_Receipts_Only_BB_ALL,VIEW,
Inventory_Flow_Report_Jonathan_Adler_Inventory,VIEW,
Inventory_Flow_Report_July_Open_Orders,VIEW,
Inventory_Flow_Report_July_Open_Orders_Need_to_Review_,VIEW,
Inventory_Flow_Report_Kohl_s_Inv_Flow,VIEW,
Inventory_Flow_Report_Kohl_s_Inventory_Flow,VIEW,
Inventory_Flow_Report_Lead_Time_100_Days,VIEW,
Inventory_Flow_Report_Lead_Times_MOQ_s,VIEW,
Inventory_Flow_Report_Liquids_to_Move_to_USA,VIEW,
Inventory_Flow_Report_List_All_Inventory_Flow,VIEW,
Inventory_Flow_Report_List_All_Inventory_Flow_copy,VIEW,
Inventory_Flow_Report_List_All_Inventory_Flow_copy_2,VIEW,
Inventory_Flow_Report_List_All_Inventory_Flow_ER,VIEW,
Inventory_Flow_Report_List_Changes,VIEW,Sorted by Date Modified
Inventory_Flow_Report_Lowe_s_Inv_Flow,VIEW,
Inventory_Flow_Report_Lowes_Inv_Flow_,VIEW,
Inventory_Flow_Report_Margin_Comparison_by_Supplier,VIEW,
Inventory_Flow_Report_MAYA_PACKAGING_QINGDAO_Inventory_Flow,VIEW,
Inventory_Flow_Report_Meijer_Inv_Flow,VIEW,
Inventory_Flow_Report_Menard_s_Inv_Flow,VIEW,
Inventory_Flow_Report_Menards_Inv_Flow,VIEW,
Inventory_Flow_Report_Mikey_Place_Replen_For_Recent_Orders,VIEW,
Inventory_Flow_Report_MIKEY_Placer_Orders_All_Active_No_EC_AMZ,VIEW,
Inventory_Flow_Report_MIKOO_E_HENG_IMP_EXP_INVENTORY_FLOW,VIEW,
Inventory_Flow_Report_Min_OH_Decisions,VIEW,
Inventory_Flow_Report_minOH_styles_check,VIEW,
Inventory_Flow_Report_Missing_Item_Rank_WOS,VIEW,
Inventory_Flow_Report_Missing_Lead_Times_MOQ_s,VIEW,
Inventory_Flow_Report_Missing_Root_Mstyle,VIEW,
Inventory_Flow_Report_Missing_Sub_Status,VIEW,
Inventory_Flow_Report_Missing_Sub_Status_on_Inv_Flow,VIEW,
Inventory_Flow_Report_More_than_10_Days_OOS_by_Invtry_Manager,VIEW,
Inventory_Flow_Report_Multi_Pack_data_dump,VIEW,
Inventory_Flow_Report_My_Inventory_Flow,VIEW,
Inventory_Flow_Report_Neg_Inv_Customer_Orders_Inventory,VIEW,
Inventory_Flow_Report_Neg_Inv_Projections_Inv_Brand_Buzz_Only_,VIEW,
Inventory_Flow_Report_Neg_Inv_Weekly_Projections_Weekly_Inventory,VIEW,
Inventory_Flow_Report_Negative_ATS_OH,VIEW,
Inventory_Flow_Report_New_Active_Items_Review,VIEW,
Inventory_Flow_Report_NINGBO_JIANGBEI_Inventory_Flow,VIEW,
Inventory_Flow_Report_NJ_CA_Inventory_2_,VIEW,
Inventory_Flow_Report_NJ_CA_Inventory_Shipping_Destination_Review,VIEW,
Inventory_Flow_Report_NJ_CA_Inventory_Shipping_Destination_Review_Finalized_,VIEW,
Inventory_Flow_Report_NJ_CA_Inventory_Transfer_Review,VIEW,
Inventory_Flow_Report_No_Replen_Items,VIEW,
Inventory_Flow_Report_Off_Price,VIEW,
Inventory_Flow_Report_OH_Qty_OH_,VIEW,
Inventory_Flow_Report_OOS_and_Priorities_Report,VIEW,
Inventory_Flow_Report_OOS_and_Priorities_Report_PSM,VIEW,
Inventory_Flow_Report_OOS_and_Priorities_Report_WMT,VIEW,
Inventory_Flow_Report_OOS_and_Priority_Items_Report_with_suppliers,VIEW,"Shows Active: Replen items that will have OOS in the next 100 days
Shows Active: Replen items that will have below Opt OH in a given week in next 16 wks
Intent is to identify items to reach out to factory about expediting I/W QTYs"
Inventory_Flow_Report_OOS_Item_Report_AEI,VIEW,
Inventory_Flow_Report_OOS_Item_Report_AMZ_AEI,VIEW,Amazon Only
Inventory_Flow_Report_OOS_Items_Report,VIEW,
Inventory_Flow_Report_OOS_Neg_ATS_OH_,VIEW,
Inventory_Flow_Report_OOS_Recover_Dates,VIEW,
Inventory_Flow_Report_OOS_Report,VIEW,OOS items in next 100 days
Inventory_Flow_Report_OOS_Upcoming_OOS_For_Sales,VIEW,
Inventory_Flow_Report_OOS_Upcoming_OOS_For_Sales_UPDATED,VIEW,
Inventory_Flow_Report_Open_Cust_PO_Qty_Mismatch_Inven_vs_Ordhist,VIEW,
Inventory_Flow_Report_Optimal_Weeks_of_Supply_Blank,VIEW,
Inventory_Flow_Report_Optimum_WoS_Check_WIP,VIEW,
Inventory_Flow_Report_Out_in_Next_60_Days,VIEW,
Inventory_Flow_Report_Over_Projected_Items_Export,VIEW,Export friendly verison
Inventory_Flow_Report_Over_Stock_Over_Committed,VIEW,
Inventory_Flow_Report_Over_Under_Projected_Items,VIEW,Review to make sure projections are validated
Inventory_Flow_Report_Oversold_Have_Orders_but_No_Qty_ATS_,VIEW,
Inventory_Flow_Report_Oversold_Have_Orders_but_No_Qty_ATS_Brand_Buzz,VIEW,
Inventory_Flow_Report_Overstock,VIEW,
Inventory_Flow_Report_Overstock_for_Sales_Mtg,VIEW,
Inventory_Flow_Report_Overstock_Items_w_Incoming_Receipts,VIEW,Review overstock items to determine if upcoming receipts are still needed.  Cancel PO or push out ETD.  
Inventory_Flow_Report_OverStock_Over_Committed_with_Qty_I_W,VIEW,"Shows Over Commit by 4 weeks or more and Over Commit Qty > 3000 pcs and > MOQ. Try to cancel, push out, or reduce qty in work"
Inventory_Flow_Report_Overstock_OverCommited_with_Qty_I_W_Export,VIEW,
Inventory_Flow_Report_Overstock_POs_IW_AEI,VIEW,
Inventory_Flow_Report_PBI_Export_for_Inventory_Flow,VIEW,
Inventory_Flow_Report_Peeps_Available_to_Sell,VIEW,
Inventory_Flow_Report_Petbarn_Inv_Flow,VIEW,
Inventory_Flow_Report_PL_ATS_Report,VIEW,
Inventory_Flow_Report_Place_Orders_All_Active_Items,VIEW,
Inventory_Flow_Report_Place_Orders_All_Active_Items_NO_WOS_FILTER,VIEW,
Inventory_Flow_Report_Place_Orders_All_Active_Items_w_Multipack,VIEW,
Inventory_Flow_Report_Place_Orders_Amazon_WO_EC_Multi_Items,VIEW,
Inventory_Flow_Report_Place_Orders_Export_All_Active_Replen_Updated_4_21_26,VIEW,
Inventory_Flow_Report_Place_Replen_Orders_Export_File_,VIEW,
Inventory_Flow_Report_Place_Replenishment_Orders,VIEW,
Inventory_Flow_Report_Place_Replenishment_Orders_w_oversold_FD_Commts_,VIEW,
Inventory_Flow_Report_Prioritize_Transit,VIEW,
Inventory_Flow_Report_Prj_w_o_Amazon,VIEW,
Inventory_Flow_Report_Projected_Wk_300_Pcs,VIEW,
Inventory_Flow_Report_Projections_by_Week,VIEW,
Inventory_Flow_Report_Promo_Items_Review,VIEW,
Inventory_Flow_Report_PSM_Inv_Flow,VIEW,
Inventory_Flow_Report_PSM_Inv_Flow_,VIEW,
Inventory_Flow_Report_PSM_PL_Inventory,VIEW,
Inventory_Flow_Report_PSP_Inv_Flow,VIEW,
Inventory_Flow_Report_PUSH_OUT_POs_Report,VIEW,
Inventory_Flow_Report_Receipt_Flow,VIEW,
Inventory_Flow_Report_Receipt_Flow_I_T,VIEW,
Inventory_Flow_Report_Receipt_Flow_w_Style_,VIEW,
Inventory_Flow_Report_Replen_Order_Export_Manual_Entries_,VIEW,
Inventory_Flow_Report_Replen_Order_Export_Manual_Entries_SJ,VIEW,
Inventory_Flow_Report_Replen_Stock_Summary,VIEW,
Inventory_Flow_Report_Replen_Styles_w_Zero_OPT_WOS_Update_Needed,VIEW,
Inventory_Flow_Report_Ross_Inv_Flow,VIEW,
Inventory_Flow_Report_Sept_Open_Orders_Review,VIEW,
Inventory_Flow_Report_SHANDONG_JINGXIN_NONWOVEN_Inventory_Flow,VIEW,
Inventory_Flow_Report_Ships_by_Style_Last_13_Weeks,VIEW,
Inventory_Flow_Report_Shopify_Available_to_Sale_Report,VIEW,
Inventory_Flow_Report_SIAM_INTERPACIFIC_LTD_S_I_P_Inventory_Flow,VIEW,
Inventory_Flow_Report_Status_Unmatch_INVENTORY_FLOW,VIEW,
Inventory_Flow_Report_Styles_with_No_Division_Code,VIEW,
Inventory_Flow_Report_Supplier_Forecast_6_Months_,VIEW,
Inventory_Flow_Report_Supplier_Forecast_6_Months_w_Supplier_FOB,VIEW,
Inventory_Flow_Report_Supplier_Forecast_DR,VIEW,
Inventory_Flow_Report_Supplier_Order_FC_N8_Wks_,VIEW,
Inventory_Flow_Report_supplier_stack_sandbox,VIEW,
Inventory_Flow_Report_Target_Inv_Flow,VIEW,
Inventory_Flow_Report_Target_s_Inventory_Flow,VIEW,
Inventory_Flow_Report_THEIS_Inv_Flow,VIEW,
Inventory_Flow_Report_Thomas_Inventory_Flow,VIEW,
Inventory_Flow_Report_TIANJIN_YIYI_HYGIENE_PRODUCTS_INVENTORY_FLOW,VIEW,
Inventory_Flow_Report_Top_20_Items,VIEW,
Inventory_Flow_Report_Top_50_Effectiveness_test,VIEW,
Inventory_Flow_Report_Top_Out_of_Stocks_Items,VIEW,
Inventory_Flow_Report_Top_Sellers_by_1st_OOS_Date_from_China,VIEW,
Inventory_Flow_Report_UK_Inv_Flow,VIEW,
Inventory_Flow_Report_UK_Warehouse_Inv,VIEW,
Inventory_Flow_Report_Under_Projected_Items_Export,VIEW,
Inventory_Flow_Report_Unique_Brands,VIEW,
Inventory_Flow_Report_used_on_Gladware_MRP_MStyle_Mirror,VIEW,
Inventory_Flow_Report_Used_on_MRP_PO_Request,VIEW,
Inventory_Flow_Report_Used_on_Search_Results,VIEW,
Inventory_Flow_Report_Used_On_Search_Results_Place_Reorders_,VIEW,
Inventory_Flow_Report_Used_on_Super_Search,VIEW,
Inventory_Flow_Report_Valentine_Easter_Available_to_Sale_Report,VIEW,
Inventory_Flow_Report_VL_CA_to_NJ_Whse_Transition_Export,VIEW,
Inventory_Flow_Report_VL_CA_to_NJ_Whse_Transition_Export2,VIEW,
Inventory_Flow_Report_WH_By_Location_Export,VIEW,
Inventory_Flow_Report_WMT_Inv_Flow,VIEW,
Inventory_Flow_Report_WMT_Inv_Flow_BB_ONLY_,VIEW,
Inventory_Flow_Report_Yangzhou_Yingte_Inventory_Flow,VIEW,
Inventory_Flow_Report_Yizhan_Inventory_Flow,VIEW,
Inventory_History,TABLE,
Inventory_History_Report_12_31_2024_AMZ_WO_Inv,VIEW,
Inventory_History_Report_1_1_2025_AMZ_WO_Inv,VIEW,
Inventory_History_Report_3_31_2025_AMZ_WO_Inv,VIEW,
Inventory_History_Report_4_1_2025_AMZ_WO_Inv,VIEW,
Inventory_History_Report_BC_Inventory_History,VIEW,
Inventory_History_Report_Doesnt_exist_in_inventory_weekly,VIEW,
Inventory_History_Report_Embedded_for_Inventory_Flow,VIEW,
Inventory_History_Report_Embedded_for_Inventory_Flow2,VIEW,
Inventory_History_Report_Embedded_for_Inventory_History_Weekly,VIEW,
Inventory_History_Report_Embedded_for_Order_History,VIEW,
Inventory_History_Report_Embedded_for_Styles,VIEW,
Inventory_History_Report_History_AEI,VIEW,
Inventory_History_Report_Inv_History_PBI_,VIEW,
Inventory_History_Report_Inv_History_w_o_Suffix,VIEW,Excludes any MStyles with suffix 
Inventory_History_Report_Inventory_History_L12M_by_MStyle,VIEW,My Description
Inventory_History_Report_Inventory_History_L12M_by_MStyle_WOS_,VIEW,My Description
Inventory_History_Report_Inventory_History_UK_ONLY_PBI_,VIEW,
Inventory_History_Report_List_All,VIEW,
Inventory_History_Report_List_Changes,VIEW,Sorted by Date Modified
Inventory_History_Report_Old_Records_to_Delete,VIEW,
Inventory_History_Report_UK_ONLY_List_All,VIEW,
Inventory_History_Weekly,TABLE,
Inventory_History_Weekly_Report_List_All,VIEW,
Inventory_History_Weekly_Report_List_Changes,VIEW,Sorted by Date Modified
Inventory_Report_Aged_Inv,VIEW,
Inventory_Report_Aged_Inv_Summary_Report,VIEW,
Inventory_Report_Aged_Inventory,VIEW,
Inventory_Report_Aged_Inventory_Cost_by_Manager,VIEW,
Inventory_Report_Aged_Inventory_Test,VIEW,
Inventory_Report_AMZ_Suffix_OH,VIEW,"Indicates ""AMZ"" suffix styles. Note will need to temporarily switch back to ""EC"" from NJ whse for WO until back in stock."
Inventory_Report_ATS_OH_OO_0_Not_in_Product_Track,VIEW,
Inventory_Report_BB_Inventory_OH,VIEW,
Inventory_Report_COS_Suffix_OH,VIEW,
Inventory_Report_Embedded_for_Inv_Flow_mirror_Root_Mstyle_,VIEW,
Inventory_Report_Embedded_for_Inv_Flow_mirror_Root_Mstyle_2,VIEW,
Inventory_Report_Embedded_for_Inv_Flow_mirror_Root_Mstyle_3,VIEW,
Inventory_Report_Embedded_for_Inventory_Flow,VIEW,
Inventory_Report_Embedded_for_Inventory_Flow2,VIEW,
Inventory_Report_Embedded_for_Inventory_Flow3,VIEW,
Inventory_Report_Embedded_for_Inventory_Flow4,VIEW,
Inventory_Report_Embedded_for_Inventory_Flow5,VIEW,
Inventory_Report_Embedded_for_Inventory_Request_Detail,VIEW,
Inventory_Report_Embedded_for_Inventory_Request_Detail2,VIEW,
Inventory_Report_Embedded_for_Inventory_Request_Detail3,VIEW,
Inventory_Report_Embedded_for_Order_History,VIEW,
Inventory_Report_Embedded_for_Styles,VIEW,
Inventory_Report_Embedded_for_Styles2,VIEW,
Inventory_Report_Embedded_for_Styles3,VIEW,
Inventory_Report_Export_for_EC_Inv,VIEW,
Inventory_Report_Export_for_Multi_Pack_Inv,VIEW,
Inventory_Report_Export_for_UK_Inv,VIEW,
Inventory_Report_GNC_Active_OH,VIEW,
Inventory_Report_GNC_Essentials_Inv,VIEW,
Inventory_Report_GTIN_Updates_Tracker,VIEW,
Inventory_Report_In_Transit_Detail_Drilldown,VIEW,
Inventory_Report_In_Transit_Detail_Drilldown_Inv_Flow_,VIEW,
Inventory_Report_In_Work_Detail_Drilldown,VIEW,
Inventory_Report_In_Work_Detail_Drilldown_Inv_Flow_,VIEW,
Inventory_Report_Inv_All_AEI,VIEW,for weekly exception report
Inventory_Report_Inv_Suffix,VIEW,
Inventory_Report_Inventory_Detail_Drilldown,VIEW,
Inventory_Report_Inventory_Detail_Drilldown_Inv_Flow_,VIEW,
Inventory_Report_Inventory_w_o_Inv_Flow_Record,VIEW,
Inventory_Report_List_All,VIEW,
Inventory_Report_List_Changes,VIEW,Sorted by Date Modified
Inventory_Report_p_p_Inventory_Aging,VIEW,
Inventory_Report_p_p_Inventory_Aging2,VIEW,
Inventory_Report_Reserved_Inventory_No_Activity_L3_months,VIEW,
Inventory_Report_Root_Mstyle_Mismatch_inv_flow_root_,VIEW,
Inventory_Report_Safety_Net_to_watch_for_MStyle_Root_Maintained_by_Automation_MStyle_Root,VIEW,"Report should always be blank. 
If it catches any exceptions the required action is to Grid Edit highlight the MStyle Root column and paste it into the Mstyle Root maintained by automation column."
Inventory_Report_temp_debug,VIEW,
Inventory_Report_Under_50_Units,VIEW,Non active/promo items under 50 units OH
Inventory_Report_Unique_MStyles,VIEW,
Inventory_Report_Unique_Styles_Last_Order_Shipped,VIEW,
Inventory_Report_Unique_Styles_w_o_order_in_L90_days,VIEW,
Inventory_Request_Detail,TABLE,
Inventory_Request_Detail_Report_Awaiting_Inv_Appoval,VIEW,
Inventory_Request_Detail_Report_Awaiting_Sales_Appoval,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Acct_MStyle_Master,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Inventory,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Inventory2,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Inventory_Flow,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Inventory_Flow2,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Inventory_Flow3,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Inventory_Flow4,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Inventory_Flow5,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Inventory_Requests,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Projections,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Projections2,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Projections3,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Shipment_Detail,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Shipment_Detail2,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Styles,VIEW,
Inventory_Request_Detail_Report_Embedded_for_Styles2,VIEW,
Inventory_Request_Detail_Report_For_Disco_Request,VIEW,
Inventory_Request_Detail_Report_for_NEW_ITEM_INV_,VIEW,
Inventory_Request_Detail_Report_for_NEW_ITEM_SALES_,VIEW,
Inventory_Request_Detail_Report_for_NEW_ITEM_VP_,VIEW,
Inventory_Request_Detail_Report_For_OTB_Request,VIEW,
Inventory_Request_Detail_Report_For_OTB_Request_Sales_,VIEW,
Inventory_Request_Detail_Report_For_Promo_Inv_Request,VIEW,
Inventory_Request_Detail_Report_For_Promo_Inv_Request_Sales_,VIEW,
Inventory_Request_Detail_Report_For_RPL_INV_Request,VIEW,
Inventory_Request_Detail_Report_For_RPL_INV_Request_Sales_,VIEW,
Inventory_Request_Detail_Report_Inv_Requests_Upcoming_for_the_Next_3_Months,VIEW,
Inventory_Request_Detail_Report_InvReq_New_Item,VIEW,
Inventory_Request_Detail_Report_List_All,VIEW,
Inventory_Request_Detail_Report_List_Changes,VIEW,Sorted by Date Modified
Inventory_Request_Detail_Report_New_ISO_Item_Tracker,VIEW,Shows current shipment status for new ISO customer launches (RPL)
Inventory_Request_Detail_Report_New_Stock_Item_Tracker,VIEW,
Inventory_Request_Detail_Report_Pending_BB_Sales_New_Item_,VIEW,
Inventory_Request_Detail_Report_Pending_Fetch_Sales_New_Item_,VIEW,
Inventory_Requests,TABLE,
Inventory_Requests_Report_Awaiting_BB_Sales_Feedback,VIEW,List for NEW ITEMS that are PENDING SALES 
Inventory_Requests_Report_Awaiting_Fetch_Sales_Feedback,VIEW,List for NEW ITEMS that are PENDING SALES 
Inventory_Requests_Report_Awaiting_Inv_Team_Feedback,VIEW,List for NEW ITEMS that are PENDING INV 
Inventory_Requests_Report_Awaiting_Vp_Inv_Approval,VIEW,List for NEW ITEMS that are PENDING INV APPROVAL 
Inventory_Requests_Report_Embedded_for_Accounts_mirror_,VIEW,
Inventory_Requests_Report_Embedded_for_Quote_Sheets,VIEW,
Inventory_Requests_Report_Embedded_for_User_Focus,VIEW,
Inventory_Requests_Report_List_All,VIEW,
Inventory_Requests_Report_List_Changes,VIEW,Sorted by Date Modified
Inventory_Requests_Report_List_New_Items,VIEW,for new items created by pipeline sweeps
Inventory_Requests_Report_Pending_Inventory_Request,VIEW,
Inventory_Requests_Report_Ready_To_Order_BB_,VIEW,
Inventory_Requests_Report_Ready_To_Order_Fetch_,VIEW,
Invoice_Detail,TABLE,
Invoice_Detail_Report_Customer_invoice_detail_inc_unit_costs,VIEW,
Invoice_Detail_Report_Embedded_for_Accounts_mirror_,VIEW,
Invoice_Detail_Report_Embedded_for_Order_History,VIEW,
Invoice_Detail_Report_Embedded_for_Styles,VIEW,
Invoice_Detail_Report_Embedded_for_Unique_Acct_MStyles,VIEW,
Invoice_Detail_Report_Invoices_for_Export,VIEW,
Invoice_Detail_Report_Invoices_for_Export_GE,VIEW,
Invoice_Detail_Report_List_All,VIEW,
Invoice_Detail_Report_List_Changes,VIEW,Sorted by Date Modified
Invoice_Detail_Report_Missing_Key_Field,VIEW,
Invoice_Detail_Report_Missing_Records_in_PT_Invoices_Table,VIEW,
Item_Status_Codes,TABLE,
Item_Status_Codes_Report_List_All,VIEW,
Item_Status_Codes_Report_List_Changes,VIEW,Sorted by Date Modified
Metric_Trends_sync_,TABLE,
Metric_Trends_sync__Report_List_All,VIEW,
Metric_Trends_sync__Report_List_Changes,VIEW,Sorted by Date Modified
MStyle_Mirror_Pipelines_Test,TABLE,
MStyle_Mirror_Pipelines_Test_Report_List_All,VIEW,
MStyle_Mirror_Pipelines_Test_Report_List_Changes,VIEW,Sorted by Date Modified
MStyle_Projection_Changes,TABLE,
MStyle_Projection_Changes_Report_Embedded_for_Inventory_Flow,VIEW,
MStyle_Projection_Changes_Report_Embedded_for_Inventory_Flow2,VIEW,
MStyle_Projection_Changes_Report_Embedded_for_Inventory_Flow3,VIEW,
MStyle_Projection_Changes_Report_Embedded_for_Styles,VIEW,
MStyle_Projection_Changes_Report_List_All,VIEW,
MStyle_Projection_Changes_Report_List_Changes,VIEW,Sorted by Date Modified
MStyle_Projection_Changes_Report_Mstyle_Prj_Change_,VIEW,My Description
MStyle_Projection_Changes_Report_Prj_Change,VIEW,
MStyle_Projection_Changes_Report_Projection_Changes_Active_Items_10_,VIEW,
OOS_Lost_Sales,TABLE,
OOS_Lost_Sales_Report_Embedded_for_Inventory_Flow,VIEW,
OOS_Lost_Sales_Report_List_All,VIEW,
OOS_Lost_Sales_Report_List_Changes,VIEW,Sorted by Date Modified
Order_History,TABLE,
Order_History_Report_2020_Orders,VIEW,
Order_History_Report_2021_Wmt_Orders,VIEW,
Order_History_Report_2022_Walmart_Cancels,VIEW,
Order_History_Report_2022_YTD_Cancellations,VIEW,
Order_History_Report__Used_by_Automation_Active_MStyles_Missing_a_99999_General_Projection,VIEW,"*** Used by Automation *** do not adjust or delete
Active MStyles Missing a 99999 General Projection.  All active Styles need to have a 99999 General projection.  These records should be copied over to the Projections table.
OMIT where Private label or Exclusive."
Order_History_Report_Add_Snooze_Ignore_Projections,VIEW,
Order_History_Report_All_Open_Orders_10_Margin,VIEW,
Order_History_Report_All_Orders_by_Customer_Summary_Current_Year_,VIEW,
Order_History_Report_All_Orders_by_Customer_Summary_Current_Year_w_Brand_Description,VIEW,
Order_History_Report_All_Orders_YTD_AEI,VIEW,for exception report
Order_History_Report_All_Orders_YTD_Plus_Approved_Exceptions_,VIEW,
Order_History_Report_Amazon_3_mon_order_summary,VIEW,
Order_History_Report_Amazon_Approved_Exceptions,VIEW,
Order_History_Report_Amazon_ASINs_Past_Due,VIEW,
Order_History_Report_Amazon_Cancelled,VIEW,
Order_History_Report_Amazon_Open_Order_To_Cancel,VIEW,
Order_History_Report_Amazon_Open_Orders_10_Margin,VIEW,
Order_History_Report_Amazon_Open_Orders_2022,VIEW,
Order_History_Report_Amazon_Order_Weekly,VIEW,
Order_History_Report_Amazon_Orders_for_TOP_ASINs_Not_Batched_,VIEW,
Order_History_Report_Amazon_Partials,VIEW,
Order_History_Report_Amazon_TOP_ASINs_Open_Orders,VIEW,
Order_History_Report_AMZ_Cancelled_Orders,VIEW,
Order_History_Report_AMZ_Cancelled_Orders_Amount,VIEW,
Order_History_Report_AMZ_DI_Order_Tracker,VIEW,
Order_History_Report_AMZ_DI_Past_Due_Orders_Upcoming_this_Month,VIEW,
Order_History_Report_Amz_Open_POs_Low_Mgn_,VIEW,
Order_History_Report_AMZ_Ord_History,VIEW,
Order_History_Report_AMZ_Order_YTD_AEI,VIEW,
Order_History_Report_AMZ_YTD_Orders_w_Cancelled_Orders_,VIEW,
Order_History_Report_August_Open_Orders,VIEW,
Order_History_Report_Australia_Transfers,VIEW,
Order_History_Report_BB_Orders_Jan2022_July_2023,VIEW,
